Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen McDaniels\mcdanja01,mcdanja01,SF,23,CHO,47,18,19.23404255,2.829787234,6.042553191,0.468309859,0.744680851,2.234042553,0.333333333,2.085106383,3.808510638,0.547486034,0.957446809,1.361702128,0.703125,0.957446809,2.638297872,3.595744681,1.127659574,0.595744681,0.404255319,0.957446809,2.021276596,7.361702128
Doug McDermott\mcderdo01,mcderdo01,PF,29,IND,66,29,24.53030303,5.363636364,10.07575758,0.532330827,1.681818182,4.333333333,0.388111888,3.681818182,5.742424242,0.64116095,1.212121212,1.484848485,0.816326531,0.909090909,2.439393939,3.348484848,1.287878788,0.303030303,0.090909091,0.803030303,1.772727273,13.62121212
Sean McDermott\mcderse01,mcderse01,SF,24,MEM,18,0,8.777777778,0.722222222,1.833333333,0.393939394,0.277777778,1.222222222,0.227272727,0.444444444,0.611111111,0.727272727,0.444444444,0.444444444,1,0.333333333,0.722222222,1.055555556,0.222222222,0.111111111,0.166666667,0.222222222,0.444444444,2.166666667
JaVale McGee\mcgeeja01,mcgeeja01,C,33,TOT,92,4,14.73913043,3.130434783,6.130434783,0.510638298,0.108695652,0.52173913,0.208333333,3.02173913,5.608695652,0.53875969,0.956521739,1.456521739,0.656716418,1.673913043,3.52173913,5.195652174,0.847826087,0.413043478,1.173913043,1.304347826,2.630434783,7.326086957
Rodney McGruder\mcgruro01,mcgruro01,SG,29,DET,16,2,12.125,2.3125,4.375,0.528571429,0.6875,1.5,0.458333333,1.625,2.875,0.565217391,0.375,0.5,0.75,0.5,0.875,1.375,1,0.5,0.0625,0.4375,0.75,5.6875
Alfonzo McKinnie\mckinal01,mckinal01,SF,28,LAL,39,0,6.615384615,1.230769231,2.384615385,0.516129032,0.41025641,1,0.41025641,0.820512821,1.384615385,0.592592593,0.256410256,0.461538462,0.555555556,0.564102564,0.820512821,1.384615385,0.153846154,0.179487179,0,0.128205128,0.666666667,3.128205128
Jordan McLaughlin\mclaujo01,mclaujo01,PG,24,MIN,51,2,18.39215686,1.960784314,4.745098039,0.41322314,0.647058824,1.803921569,0.358695652,1.31372549,2.941176471,0.446666667,0.450980392,0.588235294,0.766666667,0.411764706,1.705882353,2.117647059,3.784313725,1,0.117647059,1,0.862745098,5.019607843
Ben McLemore\mclembe01,mclembe01,SG,27,TOT,106,10,17.0754717,2.547169811,6.886792453,0.369863014,1.830188679,5.283018868,0.346428571,0.716981132,1.603773585,0.447058824,0.735849057,1,0.735849057,0.283018868,1.603773585,1.886792453,0.735849057,0.433962264,0.169811321,0.79245283,1.660377358,7.660377358
Nicolò Melli\mellini01,mellini01,PF,30,TOT,90,8,12.57777778,1.022222222,3.133333333,0.326241135,0.511111111,1.888888889,0.270588235,0.511111111,1.244444444,0.410714286,0.422222222,0.555555556,0.76,0.644444444,2.066666667,2.711111111,0.977777778,0.311111111,0.066666667,0.266666667,1.288888889,2.977777778
De'Anthony Melton\meltode01,meltode01,PG,22,MEM,52,1,20.09615385,3.307692308,7.557692308,0.437659033,1.673076923,4.057692308,0.412322275,1.634615385,3.5,0.467032967,0.788461538,0.980769231,0.803921569,0.576923077,2.519230769,3.096153846,2.538461538,1.153846154,0.596153846,1.269230769,1.634615385,9.076923077
Sam Merrill\merrisa01,merrisa01,SG,24,MIL,30,2,7.766666667,1.066666667,2.4,0.444444444,0.7,1.566666667,0.446808511,0.366666667,0.833333333,0.44,0.133333333,0.133333333,1,0.2,0.8,1,0.7,0.266666667,0.033333333,0.333333333,0.566666667,2.966666667
Chimezie Metu\metuch01,metuch01,C,23,SAC,36,6,13.55555556,2.527777778,4.972222222,0.508379888,0.361111111,1.027777778,0.351351351,2.166666667,3.944444444,0.549295775,0.861111111,1.194444444,0.720930233,0.861111111,2.25,3.111111111,0.777777778,0.388888889,0.5,0.805555556,1.638888889,6.277777778
Khris Middleton\middlkh01,middlkh01,SF,29,MIL,68,68,33.36764706,7.514705882,15.79411765,0.475791434,2.220588235,5.367647059,0.41369863,5.294117647,10.42647059,0.507757405,3.117647059,3.470588235,0.898305085,0.794117647,5.176470588,5.970588235,5.441176471,1.088235294,0.132352941,2.617647059,2.352941176,20.36764706
Darius Miller\milleda01,milleda01,SF,30,OKC,18,0,10.94444444,1.222222222,2.666666667,0.458333333,0.944444444,2.333333333,0.404761905,0.277777778,0.333333333,0.833333333,0.666666667,0.666666667,1,0.111111111,1.222222222,1.333333333,1.166666667,0.722222222,0.277777778,0.444444444,0.722222222,4.055555556
Patty Mills\millspa02,millspa02,PG,32,SAS,68,1,24.77941176,3.705882353,8.985294118,0.412438625,2.367647059,6.308823529,0.375291375,1.338235294,2.676470588,0.5,1.044117647,1.147058824,0.91025641,0.264705882,1.441176471,1.705882353,2.382352941,0.617647059,0.044117647,0.970588235,1.191176471,10.82352941
Paul Millsap\millspa01,millspa01,PF,35,DEN,56,36,20.75,3.410714286,7.160714286,0.476309227,0.875,2.553571429,0.342657343,2.535714286,4.607142857,0.550387597,1.267857143,1.75,0.724489796,1.357142857,3.321428571,4.678571429,1.75,0.910714286,0.642857143,0.910714286,1.982142857,8.964285714
Shake Milton\miltosh01,miltosh01,SG,24,PHI,63,4,23.19047619,4.761904762,10.58730159,0.449775112,1.126984127,3.222222222,0.349753695,3.634920635,7.365079365,0.493534483,2.317460317,2.793650794,0.829545455,0.523809524,1.825396825,2.349206349,3.063492063,0.619047619,0.285714286,1.634920635,2.063492063,12.96825397
